file,family,pred_family,centre_error_mm,iou,score
file1000301,meniscus,cartilage,0.8674237127915059,0.7152135599071545,0.22449354827404022
file1000313,meniscus,meniscus,3.5968844065593686,0.28797812298534653,0.22096404433250427
file1000315,meniscus,meniscus,8.524897053488065,0.12044783761439025,0.18651717901229858
file1000323,meniscus,cartilage,4.056421374004672,0.40557353411736846,0.22003863751888275
file1000325,meniscus,meniscus,2.2638833745392017,0.21846940722514202,0.22182761132717133
file1000326,cartilage,cartilage,4.64658347873579,0.1766582209352493,0.20056241750717163
file1000330,cartilage,cartilage,3.02656743672267,0.21519170165725354,0.28861841559410095
file1000330,cartilage,cartilage,9.59160872774275,0.12882851623197306,0.1843571811914444
file1000330,meniscus,meniscus,4.5167678426014275,0.4168943196917095,0.30552202463150024
file1000338,cartilage,cartilage,3.534697306969249,0.6924981766846534,0.22879356145858765
file1000338,cartilage,meniscus,1.9848024984985664,0.1687570372954529,0.18205027282238007
file1000338,meniscus,cartilage,8.183524952554432,0.4013091487764255,0.1880849152803421
file1000338,meniscus,meniscus,8.061659821944982,0.15531292537590966,0.20648759603500366
file1000340,meniscus,meniscus,3.7220270001638553,0.38338094403017164,0.19539663195610046
file1000340,meniscus,meniscus,6.2120817773395824,0.17208749406736715,0.22770634293556213
file1000342,meniscus,cartilage,10.319585719689503,0.3563306967663576,0.26444023847579956
file1000356,cartilage,cartilage,6.245778847990339,0.2137632556255387,0.2078188955783844
file1000363,cartilage,cartilage,3.404746424031063,0.21377954125032503,0.2188328057527542
file1000363,meniscus,meniscus,4.637509416958148,0.7358406510465586,0.2172611653804779
file1000378,meniscus,cartilage,6.87897253092522,0.4200651689160781,0.19031117856502533
file1000381,cartilage,meniscus,4.536131868470352,0.20702423421867872,0.2248828262090683
file1000381,meniscus,cartilage,4.008179302670721,0.5003957640883685,0.2356395572423935
file1000389,cartilage,cartilage,10.552441409317824,0.15246321229413584,0.20961856842041016
file1000389,meniscus,cartilage,5.19495607714329,0.5242280074342065,0.2626829743385315
file1000389,meniscus,meniscus,7.710324714344555,0.2680859884484973,0.2683265507221222
file1000393,meniscus,meniscus,5.2628451489579415,0.2133898062643511,0.2305593639612198
file1000402,meniscus,cartilage,10.580719744038403,0.14623598739623705,0.21470268070697784
file1000412,cartilage,cartilage,7.18667959453913,0.1406403091662335,0.2985425591468811
file1000412,cartilage,cartilage,5.7770344910184805,0.19992616102019586,0.2288672775030136
file1000412,meniscus,meniscus,5.854437507019795,0.2779642837925964,0.21113665401935577
file1000418,cartilage,cartilage,2.0444459804895296,0.12883411581804308,0.18420574069023132
file1000420,meniscus,cartilage,0.8388177886905037,0.8403501032212003,0.3008745312690735
file1000425,meniscus,cartilage,0.43504456466464647,0.5819173677010078,0.20951612293720245
file1000426,meniscus,cartilage,1.7314260205780996,0.6107489709377409,0.18663138151168823
file1000434,cartilage,cartilage,3.234561764396587,0.320493282865353,0.23613640666007996
file1000434,meniscus,cartilage,7.755357936905423,0.32854873527147793,0.2155180275440216
file1000448,meniscus,cartilage,4.657689214525422,0.5165618616384571,0.1846161186695099
file1000449,cartilage,cartilage,3.2819791035293604,0.4341162904273744,0.2197577804327011
file1000449,meniscus,cartilage,3.078602958716583,0.3460952754802426,0.28305232524871826
file1000464,meniscus,meniscus,3.7756948700948536,0.2559937095547499,0.19237197935581207
file1000475,meniscus,cartilage,4.6454722842804435,0.37731471680839995,0.25921157002449036
file1000476,meniscus,cartilage,10.856113535537911,0.15775507969220506,0.183865025639534
file1000479,meniscus,meniscus,2.0479904313845636,0.4562323057931815,0.243350550532341
file1000482,meniscus,cartilage,4.2173586674991395,0.1994672436652404,0.19335691630840302
file1000482,meniscus,cartilage,5.163516036355191,0.5248107102979715,0.4026613235473633
file1000490,meniscus,meniscus,12.5050652587425,0.14143288193705691,0.23028436303138733
file1000492,cartilage,meniscus,9.072993701575493,0.1124917843336073,0.19317826628684998
file1000501,meniscus,meniscus,12.974435760197045,0.36138268614516134,0.21651816368103027
file1000510,meniscus,cartilage,7.860296584178498,0.2883936347781994,0.19949261844158173
file1000521,meniscus,meniscus,11.677667354237338,0.20790895135048157,0.18440847098827362
file1000528,cartilage,cartilage,3.5688128266678767,0.14703924557110495,0.1976526379585266
file1000528,cartilage,cartilage,6.204665755883656,0.13326352173393566,0.23098015785217285
file1000528,meniscus,meniscus,6.567316360692769,0.298928963112894,0.31171557307243347
file1000529,cartilage,cartilage,4.894920666776372,0.4801017106027311,0.20811450481414795
file1000538,meniscus,meniscus,4.795190937698939,0.3870814366810697,0.36021947860717773
file1000539,meniscus,meniscus,16.168811411734247,0.11936862168352043,0.2910569906234741
file1000547,meniscus,meniscus,1.7444238242506456,0.4421904109030921,0.2548132538795471
file1000559,meniscus,meniscus,19.687481622038064,0.10583632796263387,0.20403826236724854
file1000563,cartilage,cartilage,3.6158204157346647,0.3136290058621292,0.20360144972801208
file1000563,meniscus,meniscus,10.241078451656893,0.2927551180346824,0.18365953862667084
file1000563,meniscus,meniscus,8.567487002423826,0.17327416352321415,0.2767573595046997
file1000566,meniscus,meniscus,4.360480839347764,0.10769483760101754,0.3580326437950134
file1000568,meniscus,meniscus,4.191847150332431,0.20197880046514763,0.23695173859596252
file1000573,meniscus,cartilage,6.311407012247956,0.40951090490932324,0.191707581281662
file1000582,meniscus,meniscus,3.5723120956656875,0.3676148757112236,0.26297083497047424
file1000591,cartilage,cartilage,10.054637942396148,0.2792372624107868,0.1815667599439621
file1000591,meniscus,cartilage,9.272345958119574,0.3278075355676123,0.26670464873313904
file1000592,meniscus,meniscus,8.295271339669153,0.12480986238795128,0.2194214165210724
file1000593,meniscus,meniscus,6.266680763125652,0.4497330064405059,0.1891099512577057
file1000600,cartilage,cartilage,8.185649995516453,0.2547204242469209,0.2291421890258789
file1000600,meniscus,meniscus,13.957749430472472,0.21001348540776985,0.27110135555267334
file1000602,cartilage,cartilage,3.960808780643818,0.20219684242742397,0.18887504935264587
file1000610,meniscus,meniscus,10.93811972549531,0.13504594290081526,0.22515654563903809
file1000612,cartilage,meniscus,4.9671074999711635,0.21837684841165356,0.27661699056625366
file1000615,meniscus,meniscus,2.084085440642513,0.12751182505488579,0.24613048136234283
file1000617,cartilage,cartilage,7.362974752276953,0.23626359082800863,0.2015841007232666
file1000617,cartilage,meniscus,7.929932198307698,0.23835797636797387,0.18128585815429688
file1000625,cartilage,cartilage,2.3588894863554897,0.27526388722383505,0.19335943460464478
file1000625,meniscus,meniscus,5.6611077679381525,0.21053962275549665,0.2152152806520462
file1000626,meniscus,cartilage,12.56588557186091,0.2954564548553727,0.18030862510204315
file1000627,meniscus,meniscus,11.855471179802514,0.1297391459625071,0.29369056224823
file1000631,meniscus,meniscus,3.9166317023594854,0.48865945485128637,0.28932657837867737
file1000633,cartilage,meniscus,10.898982074612546,0.14262183017726135,0.27191245555877686
file1000633,meniscus,cartilage,6.660777080527503,0.43352505377770884,0.2835657596588135
file1000639,cartilage,cartilage,0.6190647412519513,0.3635899305863227,0.24469929933547974
file1000639,meniscus,meniscus,4.158336240188088,0.518738142121914,0.21642230451107025
file1000643,meniscus,meniscus,12.331832708299896,0.1124771344067126,0.27502956986427307
file1000653,meniscus,meniscus,6.138464197609158,0.18518888067138153,0.2156173437833786
file1000691,meniscus,cartilage,8.881486968350114,0.343015386913714,0.20212024450302124
file1000691,meniscus,meniscus,15.384063476942133,0.27718971998641384,0.26779451966285706
file1000695,meniscus,cartilage,5.079701532379519,0.30341469962189094,0.21058157086372375
file1000708,cartilage,cartilage,6.246897371717227,0.13194477986743755,0.21679158508777618
file1000709,meniscus,cartilage,5.302146599131258,0.33799275131138146,0.18216195702552795
file1000715,cartilage,cartilage,3.6636908625671425,0.3855189291938911,0.23872311413288116
file1000723,meniscus,cartilage,6.026526930481655,0.3170892345686438,0.2087419629096985
file1000736,cartilage,meniscus,3.4213713919385436,0.17241461967818106,0.2720460295677185
file1000736,meniscus,cartilage,3.427889137661657,0.500065756315867,0.2415095716714859
file1000738,cartilage,cartilage,1.8389176976541437,0.192295210459891,0.19086945056915283
file1000738,cartilage,cartilage,2.330380077827747,0.2538448731113748,0.26186612248420715
file1000738,cartilage,meniscus,12.996803175281922,0.15428615460185943,0.18994994461536407
file1000738,meniscus,cartilage,18.439777289598393,0.1516297769809316,0.24021753668785095
file1000738,meniscus,meniscus,8.869915215237956,0.11926802879563464,0.22175072133541107
file1000740,meniscus,meniscus,7.609622423871612,0.17872645183841726,0.19130457937717438
file1000743,meniscus,cartilage,1.5063864080899574,0.5798718113526572,0.21312221884727478
file1000750,meniscus,meniscus,9.910541944647612,0.10079565521187327,0.2799636721611023
file1000759,meniscus,cartilage,7.509803706550337,0.2781085633851072,0.24434642493724823
file1000769,meniscus,cartilage,14.232019856590867,0.13429987570484417,0.2744956612586975
file1000778,cartilage,cartilage,4.596896364006356,0.31416491083815234,0.2430722415447235
file1000794,meniscus,meniscus,7.148153211218549,0.257644767561164,0.19492346048355103
file1000794,meniscus,cartilage,10.75197196952933,0.3241176409939495,0.28088754415512085
file1000819,meniscus,meniscus,4.579322444142647,0.4162190076307809,0.2374638170003891
file1000831,cartilage,cartilage,5.166936443037941,0.11426308733056058,0.24849233031272888
file1000831,meniscus,meniscus,2.2936892897417014,0.40990118634223566,0.1971176117658615
file1000834,meniscus,meniscus,28.604636922811512,0.13304587794799014,0.20726823806762695
file1000848,cartilage,meniscus,3.0871364160130064,0.2937322478988423,0.2344779521226883
file1000848,meniscus,cartilage,3.139288053940975,0.6115158857500671,0.29132279753685
file1000858,meniscus,cartilage,4.099488294566346,0.33052238440199994,0.1848270744085312
file1000863,cartilage,meniscus,6.299672617277987,0.13751537190543928,0.19797614216804504
file1000863,meniscus,cartilage,6.594421005851596,0.24219408586440588,0.19419609010219574
file1000875,ligament,meniscus,4.740497554923315,0.16604525549114044,0.25841760635375977
file1000875,meniscus,meniscus,5.069726682346789,0.1472022178353836,0.24113404750823975
file1000876,cartilage,meniscus,16.63370770979875,0.10991761734914737,0.24361637234687805
file1000880,cartilage,meniscus,2.8408055092832183,0.15417882146280568,0.31026163697242737
file1000880,meniscus,cartilage,8.557625769972917,0.26628275189319534,0.23111087083816528
file1000880,meniscus,cartilage,8.234646476178037,0.23253018240529785,0.18826031684875488
file1000882,meniscus,meniscus,5.6645045390362165,0.2345601672060105,0.22284334897994995
file1000883,cartilage,cartilage,3.809117475764927,0.1872515045472772,0.2841480076313019
file1000883,meniscus,meniscus,10.70819932451323,0.2583376680624407,0.2390802800655365
file1000899,cartilage,meniscus,12.179113071889784,0.10521123529481746,0.18586741387844086
file1000899,meniscus,meniscus,16.098583313671202,0.23376456042448984,0.23723803460597992
file1000929,cartilage,cartilage,1.556911542575382,0.4413072587228848,0.22639073431491852
file1000929,meniscus,meniscus,13.509734794591067,0.3040719933623468,0.1855553388595581
file1000931,meniscus,meniscus,13.960062712892606,0.1200586253576592,0.19502755999565125
file1000933,cartilage,cartilage,3.570384216195018,0.43546052380143896,0.3064686954021454
file1000933,meniscus,meniscus,3.5342011006423513,0.5296350215426486,0.2940804660320282
file1000942,ligament,meniscus,9.177392498764235,0.13497855714427898,0.22458720207214355
file1000943,cartilage,meniscus,1.8842229404252417,0.16297705776020388,0.18771055340766907
file1000943,meniscus,meniscus,1.8952054094391704,0.26155225650025266,0.27629774808883667
file1000943,meniscus,meniscus,3.2930268926164072,0.24613233989624383,0.18079084157943726
file1000947,cartilage,cartilage,6.217000351822773,0.15837167954630885,0.187489315867424
file1000947,meniscus,meniscus,1.646781239801386,0.3319643502283185,0.20004792511463165
file1000954,meniscus,meniscus,8.376351996460402,0.18212022100025246,0.18537193536758423
file1000955,meniscus,meniscus,8.961864644502894,0.2093180813794555,0.18738888204097748
file1000955,meniscus,meniscus,8.512273846194262,0.12734237370398527,0.20477384328842163
file1000956,meniscus,cartilage,10.509309162814583,0.10484710221745387,0.18770211935043335
file1000959,meniscus,meniscus,7.856913955364359,0.13947022856050412,0.21987010538578033
file1000962,cartilage,cartilage,4.949779049782014,0.27746915927087157,0.20614996552467346
file1000962,meniscus,meniscus,3.06817942951492,0.22313112136720037,0.2227235734462738
file1000971,meniscus,cartilage,5.871648752274279,0.4894636930389815,0.18570229411125183
file1000973,cartilage,cartilage,5.331087614660245,0.12123410419899584,0.19633451104164124
file1000976,cartilage,meniscus,1.4471004605464928,0.13701583325583563,0.24319684505462646
file1000976,meniscus,meniscus,17.74509167749759,0.10999564774364014,0.22308480739593506
file1000976,meniscus,cartilage,6.740131664780262,0.5237427043037961,0.22818537056446075
file1000983,meniscus,meniscus,4.774627488420665,0.5994312888480755,0.27752187848091125
file1000990,meniscus,cartilage,3.152088520470235,0.529600491461234,0.24105876684188843
file1000990,meniscus,cartilage,15.228140985734596,0.23143463120693467,0.2920738160610199
file1000990,meniscus,meniscus,7.7025712705200435,0.3241832798830162,0.28731176257133484
file1000997,meniscus,meniscus,5.515575374209577,0.1634036221481582,0.2357647866010666
file1001005,cartilage,cartilage,1.7215805174350352,0.5511388571721867,0.24877114593982697
file1001005,meniscus,meniscus,2.416126691670525,0.6053838333934247,0.25976434350013733
file1001006,meniscus,meniscus,7.3671358267542715,0.46395473050744584,0.23821306228637695
file1001013,cartilage,meniscus,1.03880127396103,0.10085148433734342,0.19251158833503723
file1001023,meniscus,meniscus,4.756901766099572,0.2527501319812868,0.30219030380249023
file1001036,meniscus,meniscus,12.94846706203173,0.123566586784646,0.247429758310318
file1001042,meniscus,meniscus,4.977265744524045,0.15582648497823215,0.21082837879657745
file1001051,meniscus,meniscus,4.7398207089732765,0.4020602747662222,0.2643211781978607
file1001053,meniscus,meniscus,4.823995682157725,0.35057777445924315,0.23011788725852966
file1001059,meniscus,cartilage,14.649463206132902,0.1624290883051487,0.27758994698524475
file1001061,meniscus,meniscus,8.648023452288086,0.1401367655890602,0.30596429109573364
file1001082,cartilage,cartilage,13.666709710871032,0.1235818560742222,0.23713433742523193
file1001082,meniscus,meniscus,2.9799067168574576,0.268730438651368,0.3037223815917969
file1001094,meniscus,meniscus,2.885551842268383,0.39363177020804946,0.30672916769981384
file1001099,cartilage,meniscus,3.5146001280210957,0.14709932154240837,0.2001820057630539
file1001099,cartilage,cartilage,3.2485876903743125,0.17975763794564448,0.19468221068382263
file1001099,meniscus,cartilage,2.8332111448030552,0.3299385877630533,0.2539239227771759
file1001106,meniscus,cartilage,1.5579667407837832,0.49836678309945875,0.190152108669281
file1001110,meniscus,meniscus,5.2076387157496695,0.4743385718112873,0.20828403532505035
file1001114,meniscus,cartilage,3.3449049653742495,0.3837390020492705,0.293584942817688
file1001114,meniscus,meniscus,7.31294209265694,0.16776386682811745,0.22796954214572906
file1001114,meniscus,meniscus,10.50524888088041,0.20433158578018112,0.1840972900390625
file1001116,meniscus,meniscus,5.7146272478432705,0.3654864236597137,0.19255532324314117
file1001120,meniscus,meniscus,3.4364148127831284,0.34741432200554745,0.23746871948242188
file1001121,meniscus,meniscus,9.331194397636043,0.19197880719485264,0.21155454218387604
file1001139,meniscus,meniscus,11.320182137228462,0.11739035739653943,0.22674928605556488
file1001140,meniscus,meniscus,8.113773401472043,0.27525080700584514,0.23496858775615692
file1001141,cartilage,cartilage,4.538431120492334,0.3464215116905504,0.19127067923545837
file1001141,meniscus,meniscus,5.113905476600606,0.5109776641956887,0.20498566329479218
file1001149,meniscus,cartilage,10.226791152151085,0.3077742079679004,0.22154097259044647
file1001155,cartilage,meniscus,12.443867528516783,0.11235087905524938,0.19176305830478668
file1001155,cartilage,cartilage,6.989866810903383,0.14928484563651412,0.21830591559410095
file1001161,meniscus,cartilage,11.046394070899836,0.16166927070064796,0.20279459655284882
file1001196,cartilage,meniscus,5.199318302387123,0.1573913796200881,0.1957469880580902
file1001196,meniscus,cartilage,3.398009632987832,0.6535846873203728,0.21886736154556274
file1001196,meniscus,meniscus,1.7602213177121901,0.4058952841276582,0.183260977268219
file1001200,meniscus,cartilage,12.607984881511365,0.19415189967048543,0.19217732548713684
file1001202,cartilage,meniscus,7.6971538249091,0.13503547728503634,0.20670866966247559
file1001202,cartilage,cartilage,5.26597102621805,0.12157425049419901,0.2069632112979889
file1001203,cartilage,cartilage,6.722340586774298,0.14194203902281197,0.1901228129863739
file1001203,meniscus,meniscus,8.29229269853309,0.26305641519187073,0.20741383731365204
file1001205,meniscus,cartilage,8.678321344402683,0.21158374970754962,0.20527242124080658
file1001206,meniscus,meniscus,2.130492035066462,0.2952211491839196,0.2336297184228897
file1001210,cartilage,cartilage,6.5748475377815145,0.35885932478663224,0.23108577728271484
file1001210,cartilage,meniscus,4.348933566970235,0.257605639336716,0.1842932552099228
file1001210,meniscus,meniscus,10.188931953307028,0.4748317730781324,0.33558034896850586
file1001210,meniscus,cartilage,3.5651748754132866,0.3269738259795018,0.19682303071022034
file1001214,cartilage,cartilage,10.799348429139322,0.12800694599980597,0.19113782048225403
file1001222,meniscus,meniscus,10.56728102767187,0.2039905817991615,0.2396896332502365
file1001229,cartilage,meniscus,6.198101261417539,0.1412664863708372,0.23012879490852356
file1001229,meniscus,cartilage,4.509365285761813,0.47473447574931804,0.22351235151290894
file1001235,cartilage,meniscus,15.064683199997726,0.11337760758661515,0.23668986558914185
file1001235,cartilage,cartilage,4.748076644868084,0.17600933585436349,0.23372872173786163
file1001235,meniscus,cartilage,4.5861554356097,0.6819425647948317,0.2526499629020691
file1001236,meniscus,cartilage,6.866989240304607,0.36438788082608,0.21544930338859558
file1001239,cartilage,meniscus,7.543415445558156,0.12612772358514984,0.19222474098205566
file1001242,cartilage,cartilage,7.440792774051614,0.10622990247638078,0.18791180849075317
file1001242,meniscus,cartilage,12.988612932701256,0.1991674013390704,0.19479405879974365
file1001245,meniscus,cartilage,11.187777379608129,0.192275735517073,0.22770081460475922
file1001245,meniscus,meniscus,9.694394977256648,0.3608837942243127,0.21382619440555573
file1001256,meniscus,meniscus,9.664208745539645,0.16405058278864423,0.3210398554801941
file1001259,meniscus,cartilage,9.059579534031297,0.3402866148066631,0.22701923549175262
file1001266,meniscus,cartilage,10.310823614382498,0.22512438261785547,0.24478301405906677
file1001273,meniscus,meniscus,9.277593814395512,0.3174200162640167,0.19956843554973602
file1001283,cartilage,cartilage,6.182247056817874,0.4220769490419848,0.27482008934020996
file1001283,meniscus,meniscus,2.620088251483183,0.4079565820659081,0.26834434270858765
file1001309,meniscus,cartilage,8.194844659356004,0.36613598450249313,0.21273460984230042
file1001319,cartilage,cartilage,1.8210042632820689,0.22078143792768815,0.3132544755935669
file1001320,meniscus,cartilage,4.643524447223309,0.4437983324372435,0.3245616555213928
file1001327,meniscus,cartilage,11.054006533630169,0.3063166260526568,0.2327108532190323
file1001328,cartilage,meniscus,6.362138485249636,0.2892848919558654,0.20706133544445038
file1001333,meniscus,meniscus,12.752317233846021,0.13556608314359553,0.1969209760427475
file1001338,meniscus,meniscus,7.679632363112021,0.11700500125885063,0.23774920403957367
file1001365,cartilage,cartilage,6.296493080666146,0.2823114999826078,0.20306257903575897
file1001373,meniscus,cartilage,6.593954525257148,0.3653348548396434,0.19171957671642303
file1001378,meniscus,cartilage,8.988952414887171,0.13116325426753764,0.18683521449565887
file1001385,meniscus,cartilage,9.339992438950999,0.3020897777870015,0.19060742855072021
file1001388,meniscus,meniscus,9.255563879891668,0.17222536402652663,0.24500080943107605
file1001393,cartilage,cartilage,0.589269618057667,0.4000888812562405,0.2340729683637619
file1001393,meniscus,meniscus,5.495086279938253,0.391065795729987,0.28048622608184814
file1001395,cartilage,meniscus,2.783060248863164,0.11363061075775954,0.2318674474954605
file1001395,meniscus,cartilage,7.367659551736143,0.39671943312349417,0.26022931933403015
file1001415,meniscus,meniscus,13.567695783066574,0.13087397515932647,0.24351565539836884
file1001422,cartilage,cartilage,2.642345990944641,0.42317251250242177,0.20076462626457214
file1001440,meniscus,cartilage,11.916491903532734,0.10641682025716474,0.20169898867607117
file1001449,cartilage,cartilage,8.998075965324325,0.21037553949768747,0.19621919095516205
file1001455,cartilage,cartilage,2.7852879095395506,0.5974920590129681,0.2206575572490692
file1001455,meniscus,meniscus,10.939784571520656,0.35666869033527676,0.46563732624053955
file1001458,cartilage,cartilage,2.9563698067933424,0.15446847274131428,0.18799778819084167
file1001458,meniscus,cartilage,4.453153642861077,0.45446146298117607,0.20363447070121765
file1001459,meniscus,cartilage,5.185559590338707,0.3367156554710306,0.20845890045166016
file1001474,meniscus,meniscus,15.338433538209193,0.17463736333349716,0.21042054891586304
file1001494,meniscus,meniscus,8.462639627331262,0.2513821954756855,0.1820974498987198
file1001495,meniscus,meniscus,9.714976245101452,0.12925276869302973,0.18115663528442383
file1001503,meniscus,meniscus,5.256649404975888,0.23590211189440408,0.30145615339279175
file1001504,meniscus,cartilage,5.214013122777938,0.2813018294030311,0.21105502545833588
file1001506,meniscus,cartilage,9.243569662562718,0.1537136081249916,0.21402153372764587
file1001523,meniscus,meniscus,3.772155597872428,0.2512319061403073,0.3179279863834381
file1001544,meniscus,meniscus,3.4915012806276122,0.21625274130701394,0.23874039947986603
file1001545,meniscus,meniscus,4.961020882894706,0.11504991548752434,0.24298511445522308
file1001546,meniscus,meniscus,5.048974356705489,0.1649286657999717,0.2452060878276825
file1001550,meniscus,meniscus,1.8875733308917988,0.4177437828747635,0.1838586926460266
file1001560,meniscus,meniscus,6.321790476444606,0.13793270909357738,0.27304285764694214
file1001561,cartilage,cartilage,2.190565602358408,0.21941416513276318,0.3276449143886566
file1001561,meniscus,meniscus,7.711451309983199,0.1873310309724592,0.3419016897678375
file1001566,meniscus,meniscus,9.795788159382083,0.260750994858817,0.23251909017562866
file1001571,meniscus,cartilage,9.848292298435117,0.2750754710981735,0.18994075059890747
file1001615,meniscus,cartilage,5.52786086638154,0.4020911693536026,0.2443208545446396
file1001623,meniscus,cartilage,4.999959181918296,0.3856024481114714,0.1885080486536026
file1001629,meniscus,cartilage,2.2453302099182295,0.4820844011071196,0.1900487244129181
file1001630,cartilage,meniscus,7.070512966575626,0.24069839573037047,0.26526308059692383
file1001630,meniscus,cartilage,3.029689432022467,0.4053745680380766,0.30374518036842346
file1001636,cartilage,cartilage,1.8139365044124909,0.30789765299033717,0.21320021152496338
