stem,issues,shape,dtype
file_brain_AXFLAIR_202_6000468,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000469,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000472,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000474,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000476,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000477,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000480,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000481,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000483,native_affine_mismatch,208x256x16,int16
file_brain_AXFLAIR_202_6000486,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000489,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000492,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000493,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000496,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000498,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000499,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000502,native_affine_mismatch,224x256x16,int16
file_brain_AXFLAIR_202_6000507,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000508,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000510,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000511,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000517,native_affine_mismatch,224x256x16,int16
file_brain_AXFLAIR_202_6000520,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000521,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000522,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000524,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000526,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000528,native_affine_mismatch,208x256x16,int16
file_brain_AXFLAIR_202_6000529,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000530,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000531,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000533,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000536,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000539,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000542,native_affine_mismatch,208x256x16,int16
file_brain_AXFLAIR_202_6000543,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000548,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000551,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000553,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000554,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000555,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000556,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000557,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000558,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000559,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000561,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000562,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_202_6000563,native_affine_mismatch,260x320x16,int16
file_brain_AXFLAIR_206_6000260,native_affine_mismatch,224x256x16,int16
file_brain_AXFLAIR_206_6000262,native_affine_mismatch,224x256x16,int16
file_brain_AXT1_202_2020393,native_affine_mismatch,330x320x16,int16
file_brain_AXT1_202_6000275,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000279,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000284,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000286,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000288,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000290,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000292,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000294,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000296,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000299,native_affine_mismatch,270x320x14,int16
file_brain_AXT1_202_6000303,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000305,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000306,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000308,native_affine_mismatch,270x320x14,int16
file_brain_AXT1_202_6000315,native_affine_mismatch,270x320x14,int16
file_brain_AXT1_202_6000317,native_affine_mismatch,270x320x14,int16
file_brain_AXT1_202_6000319,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000324,native_affine_mismatch,270x320x14,int16
file_brain_AXT1_202_6000326,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000328,native_affine_mismatch,270x320x14,int16
file_brain_AXT1_202_6000333,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000336,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000342,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000345,native_affine_mismatch,270x320x12,int16
file_brain_AXT1_202_6000347,native_affine_mismatch,270x320x14,int16
file_brain_AXT1_202_6000349,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000353,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000363,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000372,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000374,native_affine_mismatch,270x320x14,int16
file_brain_AXT1_202_6000382,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000384,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000389,native_affine_mismatch,290x320x16,int16
file_brain_AXT1_202_6000392,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000398,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000402,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000404,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000408,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000411,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000413,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000416,native_affine_mismatch,270x320x14,int16
file_brain_AXT1_202_6000419,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000432,native_affine_mismatch,270x320x14,int16
file_brain_AXT1_202_6000438,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000445,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000448,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000451,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000470,native_affine_mismatch,270x320x14,int16
file_brain_AXT1_202_6000478,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000490,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000500,native_affine_mismatch,270x320x14,int16
file_brain_AXT1_202_6000503,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000512,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000515,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000518,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000534,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000537,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000544,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000574,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000587,native_affine_mismatch,270x320x16,int16
file_brain_AXT1_202_6000591,native_affine_mismatch,270x320x16,int16
