scan,orientation,shape_ok,cartilage_identity,cartilage_frame,overall_frame
MTR_084,SIAPLR,True,0.750,4.684,4.590
MTR_087,SIAPLR,True,0.595,3.746,3.559
MTR_093,SIAPLR,True,1.138,4.499,4.360
MTR_094,SIAPLR,True,0.918,2.987,3.278
MTR_095,SIAPLR,True,0.788,3.134,3.108
MTR_096,SIAPLR,True,0.969,4.816,4.453
MTR_097,SIAPLR,True,0.862,3.030,3.031
MTR_098,SIAPLR,True,0.932,4.592,4.335
MTR_099,SIAPLR,True,0.495,3.502,3.361
MTR_100,SIAPLR,True,0.597,2.472,2.464
MTR_101,SIAPLR,True,0.638,3.834,3.659
MTR_103,SIAPLR,True,0.326,2.598,2.530
MTR_104,SIAPLR,True,0.612,3.755,3.433
MTR_105,SIAPLR,True,0.367,3.082,3.024
MTR_107,SIAPLR,True,1.088,4.537,4.446
MTR_109,SIAPLR,True,0.793,5.020,4.650
MTR_110,SIAPLR,True,0.496,4.087,3.985
MTR_112,SIAPRL,True,0.996,3.358,3.528
MTR_113,SIAPLR,True,0.557,4.252,4.070
MTR_115,SIAPLR,True,0.783,3.308,3.456
MTR_116,SIAPLR,True,1.201,3.642,3.458
MTR_118,SIAPLR,True,0.588,4.435,3.958
MTR_120,SIAPLR,True,0.601,3.167,3.132
MTR_122,SIAPLR,True,0.638,4.418,4.294
MTR_124,SIAPLR,True,0.618,3.338,3.390
MTR_126,SIAPLR,True,0.377,2.547,2.568
MTR_127,SIAPRL,True,0.986,3.109,3.170
MTR_129,SIAPLR,True,0.710,3.373,3.120
MTR_130,SIAPLR,True,0.792,3.603,3.568
MTR_133,SIAPLR,True,0.591,3.947,3.721
MTR_135,SIAPRL,True,1.066,4.275,4.221
MTR_139,SIAPLR,True,0.974,3.649,3.412
MTR_140,SIAPLR,True,1.072,4.655,4.582
MTR_142,SIAPLR,True,0.750,4.475,4.263
MTR_144,SIAPRL,True,0.962,2.568,2.737
MTR_145,SIAPLR,True,0.935,4.452,4.202
MTR_146,SIAPLR,True,0.822,3.807,3.508
MTR_148,SIAPLR,True,0.838,2.740,2.727
MTR_149,SIAPLR,True,0.606,3.734,3.485
MTR_150,SIAPLR,True,0.367,1.408,2.104
MTR_151,SIAPLR,True,0.754,3.674,3.363
MTR_152,SIAPLR,True,0.752,4.356,3.934
MTR_154,SIAPLR,True,0.968,5.027,5.019
MTR_156,SIAPLR,True,0.364,3.414,3.386
MTR_158,SIAPLR,True,0.871,4.234,3.880
MTR_159,SIAPLR,True,1.122,4.432,4.457
MTR_161,SIAPRL,True,1.312,3.250,3.436
MTR_163,SIAPLR,True,1.881,4.712,4.563
MTR_164,SIAPLR,True,0.967,3.131,2.858
MTR_167,SIAPLR,True,0.461,3.938,3.732
MTR_172,SIAPLR,True,0.502,3.386,3.266
MTR_173,SIAPLR,True,0.405,2.231,2.188
MTR_174,SIAPLR,True,0.647,3.181,3.101
MTR_175,SIAPLR,True,0.804,4.381,4.142
MTR_176,SIAPLR,True,0.659,2.895,3.317
MTR_177,SIAPLR,True,0.593,2.952,3.189
MTR_178,SIAPRL,True,0.852,3.581,3.583
MTR_179,SIAPLR,True,1.167,4.669,4.274
MTR_182,SIAPLR,True,0.682,4.638,4.368
MTR_183,SIAPLR,True,0.585,4.706,4.677
MTR_184,SIAPLR,True,0.727,3.444,3.397
MTR_186,SIAPLR,True,0.520,3.572,3.681
MTR_188,SIAPLR,True,1.548,4.658,4.277
MTR_189,SIAPLR,True,0.431,2.431,2.676
MTR_190,SIAPRL,True,2.137,4.554,4.383
MTR_191,SIAPLR,True,0.634,5.565,5.247
MTR_192,SIAPLR,True,0.568,3.107,2.948
MTR_193,SIAPLR,True,0.514,2.852,2.755
MTR_194,SIAPLR,True,0.409,3.334,3.213
MTR_196,SIAPLR,True,1.145,4.845,4.528
MTR_198,SIAPLR,True,0.682,3.796,3.693
MTR_199,SIAPRL,True,0.821,3.790,3.584
MTR_200,SIAPLR,True,0.730,4.562,4.297
MTR_201,SIAPLR,True,0.674,3.833,3.715
MTR_203,SIAPLR,True,0.385,3.114,3.037
MTR_204,SIAPLR,True,0.967,4.180,4.053
MTR_205,SIAPLR,True,0.745,4.051,3.788
MTR_206,SIAPLR,True,0.554,3.389,3.040
MTR_207,SIAPLR,True,0.417,2.567,2.831
MTR_208,SIAPLR,True,0.442,3.459,3.783
MTR_209,SIAPRL,True,0.921,3.765,3.678
MTR_210,SIAPLR,True,0.608,4.104,3.924
MTR_211,SIAPLR,True,0.479,3.120,3.501
MTR_212,SIAPLR,True,0.787,3.546,3.636
MTR_213,SIAPLR,True,0.443,3.304,3.249
MTR_214,SIAPLR,True,0.912,5.561,5.396
MTR_215,SIAPLR,True,0.882,4.674,4.516
MTR_216,SIAPLR,True,0.418,4.187,3.847
MTR_218,SIAPLR,True,0.585,3.712,3.720
MTR_219,SIAPLR,True,0.550,2.854,2.778
MTR_220,SIAPLR,True,1.640,4.339,4.222
MTR_221,SIAPLR,True,0.885,3.775,3.597
MTR_222,SIAPLR,True,0.398,3.299,3.173
MTR_223,SIAPRL,True,1.147,4.693,4.229
MTR_224,SIAPLR,True,0.938,4.934,4.881
MTR_225,SIAPLR,True,0.715,4.024,3.604
MTR_227,SIAPRL,True,1.364,3.467,3.201
MTR_228,SIAPRL,True,1.600,3.591,3.575
MTR_229,SIAPLR,True,0.691,2.802,2.715
MTR_230,SIAPLR,True,1.366,2.988,2.939
MTR_232,SIAPLR,True,0.556,5.246,4.898
MTR_233,SIAPLR,True,0.823,4.673,4.594
MTR_235,SIAPLR,True,0.764,3.156,3.162
MTR_236,SIAPLR,True,0.793,4.069,3.632
MTR_237,SIAPLR,True,0.821,3.953,3.707
MTR_240,SIAPLR,True,0.750,3.356,3.318
MTR_241,SIAPLR,True,1.104,2.872,2.833
MTR_243,SIAPRL,True,0.935,4.271,4.003
MTR_244,SIAPRL,True,0.821,3.538,3.220
MTR_245,SIAPRL,True,0.782,2.333,2.424
MTR_248,SIAPLR,True,0.367,2.740,2.712
MTR_251,SIAPLR,True,0.805,4.996,4.566
